predicate,functionality,inverse_functionality
http://data.europa.eu/949/notApplicable,10.159018143009606,126.92
http://data.europa.eu/949/contactLineSystemType,1.0,47.0
http://data.europa.eu/949/validityStartDate,1.0,427.0
http://data.europa.eu/949/gsmROptionalFunctions,7.0,160.0
http://data.europa.eu/949/voiceRadioCompatible,1.0,126.0
http://data.europa.eu/949/gsmrNetworkCoverage,15.0,160.0
http://data.europa.eu/949/switchProtectControlWarning,1.0,91.0
http://data.europa.eu/949/tsiSwitchCrossing,1.0,182.0
http://data.europa.eu/949/length,1.0,1.8421052631578947
http://data.europa.eu/949/usesGroup555,1.0,160.0
http://data.europa.eu/949/tenClassification,1.2905263157894737,204.33333333333334
http://www.w3.org/2000/01/rdf-schema#label,1.0,1.875
http://data.europa.eu/949/hashSource,1.0,1.0
http://data.europa.eu/949/maximumBrakingDistance,1.0,59.333333333333336
http://data.europa.eu/949/etcsLevelType,1.0,94.0
http://data.europa.eu/949/loadCapabilityLineCategory,1.0,93.0
http://data.europa.eu/949/trackId,1.0,1.5099715099715099
http://data.europa.eu/949/railInclination,1.0,182.0
http://data.europa.eu/949/trainDetectionSystemType,1.0,44.0
http://data.europa.eu/949/trackLoadCapability,1.0,1.935483870967742
http://data.europa.eu/949/canonicalURI,1.0,1.22
http://data.europa.eu/949/hasToiletDischarge,1.0,84.0
http://data.europa.eu/949/contactStripMaterial,1.0,60.0
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1.0089887640449438,89.8
http://data.europa.eu/949/lengthOfSectionOfLine,1.0,3.193548387096774
http://data.europa.eu/949/hasSevereWeatherConditions,1.0,182.0
http://data.europa.eu/949/validityEndDate,1.0,427.0
http://data.europa.eu/949/publicNetworkRoamingDetails,1.0,160.0
http://data.europa.eu/949/netElement,2.0,4.0
http://data.europa.eu/949/gsmRAdditionalInfo,1.0,160.0
http://data.europa.eu/949/lineCategory,2.334016393442623,162.71428571428572
http://data.europa.eu/949/maximumPermittedSpeed,1.0,15.0
http://data.europa.eu/949/tsiPantographHead,1.0,60.0
http://data.europa.eu/949/inCountry,1.0,177.0
http://data.europa.eu/949/maximumTemperature,1.0,182.0
http://data.europa.eu/949/minimumTemperature,1.0,182.0
http://data.europa.eu/949/hasSandRestocking,1.0,84.0
http://data.europa.eu/949/imCode,1.0,628.0
http://data.europa.eu/949/temperatureRange,1.0,182.0
http://data.europa.eu/949/maxFlangeHeight,1.0,68.0
http://data.europa.eu/949/wheelSetGauge,1.0,530.0
http://data.europa.eu/949/etcsLevel,1.0,1.9361702127659575
http://www.w3.org/2003/01/geo/wgs84_pos#long,1.0,1.0
http://data.europa.eu/949/track,4.0458015267175576,1.0
http://data.europa.eu/949/hasAbstraction,1.0,1.7195767195767195
http://data.europa.eu/949/gaugingProfile,2.8,100.8
http://data.europa.eu/949/maximumTrainDeceleration,1.0,52.0
http://data.europa.eu/949/cantDeficiency,1.0,4.0
http://data.europa.eu/949/opEnd,1.0,2.357142857142857
http://data.europa.eu/949/tsiCompliantMaxDistConsecutiveAxles,1.0,94.0
http://data.europa.eu/949/eddyCurrentBraking,1.0,91.0
http://data.europa.eu/949/currentLimitationRequired,1.0,30.0
http://www.w3.org/2003/01/geo/wgs84_pos#location,1.0,1.0232558139534884
http://data.europa.eu/949/profileNumberSwapBodies,2.0,35.5
http://data.europa.eu/949/specificInformation,1.0,182.0
http://data.europa.eu/949/minimumWheelDiameter,1.0,182.0
http://data.europa.eu/949/loadCapabilitySpeed,1.0,7.75
http://data.europa.eu/949/lengthOfSiding,1.0,1.0120481927710843
http://data.europa.eu/949/hasLevelCrossings,1.0,182.0
http://data.europa.eu/949/lineReferenceTunnelStart,1.0,2.0
http://data.europa.eu/949/hasElectricShoreSupply,1.0,42.0
http://data.europa.eu/949/isQuietRoute,1.0,91.0
http://data.europa.eu/949/localRulesOrRestrictions,1.0,168.0
http://data.europa.eu/949/gsmRVersion,1.0,91.0
http://data.europa.eu/949/trainDetectionSystem,1.1978021978021978,1.9464285714285714
http://data.europa.eu/949/minRimWidth,1.0,68.0
http://data.europa.eu/949/lengthOfPlatform,1.0,2.085714285714286
http://data.europa.eu/949/minimumHorizontalRadius,1.0,2.696969696969697
http://data.europa.eu/949/dataRadioCompatible,1.0,126.0
http://data.europa.eu/949/hasExternalCleaning,1.0,84.0
http://data.europa.eu/949/minDistConsecutiveAxles,1.0,11.333333333333334
http://data.europa.eu/949/siding,6.0,1.0
http://data.europa.eu/949/contactLineSystem,1.0,1.9361702127659575
http://data.europa.eu/949/solNature,1.0,99.0
http://data.europa.eu/949/automaticDroppingDeviceRequired,1.0,60.0
http://data.europa.eu/949/platformId,1.0,2.0277777777777777
http://data.europa.eu/949/sidingId,1.0,1.826086956521739
http://data.europa.eu/949/hasTSITrainDetection,1.0,83.0
http://data.europa.eu/949/hasBallast,1.0,182.0
http://data.europa.eu/949/trackDirection,1.0,60.666666666666664
http://data.europa.eu/949/magneticBraking,1.0,182.0
http://data.europa.eu/949/hasWaterRestocking,1.0,42.0
http://data.europa.eu/949/platformEdge,1.028169014084507,1.0
http://data.europa.eu/949/lineNationalId,1.0,14.727272727272727
http://data.europa.eu/949/platformHeight,1.0,18.25
http://data.europa.eu/949/opName,1.0,1.0
http://data.europa.eu/949/maximumAltitude,1.0,6.444444444444445
http://data.europa.eu/949/energySupplySystem,1.0,30.0
http://data.europa.eu/949/gradientProfile,1.0,1.9753086419753085
http://data.europa.eu/949/protectionLegacySystem,1.0,91.0
http://data.europa.eu/949/lineReference,1.4318181818181819,1.0
http://data.europa.eu/949/tsiCompliantFerromagneticWheel,1.0,68.0
http://data.europa.eu/949/opStart,1.0,2.5384615384615383
http://data.europa.eu/949/lengthOfTunnel,1.0,4.0
http://data.europa.eu/949/minWheelDiameter,1.0,68.0
http://data.europa.eu/949/publicNetworkRoaming,1.0,160.0
http://data.europa.eu/949/minFlangeThickness,1.0,68.0
http://data.europa.eu/949/maximumContactWireHeight,1.0,60.0
http://data.europa.eu/949/minFlangeHeight,1.0,68.0
http://data.europa.eu/949/permittedContactForce,1.0,60.0
http://www.w3.org/2003/01/geo/wgs84_pos#lat,1.0,1.0
http://data.europa.eu/949/maxTrainCurrent,1.0,30.0
http://data.europa.eu/949/gsmRNoCoverage,1.0,160.0
http://www.opengis.net/ont/geosparql#hasGeometry,1.0,1.0232558139534884
http://data.europa.eu/949/profileNumberSemiTrailers,2.0,35.5
http://data.europa.eu/949/hasHotAxleBoxDetector,1.0,91.0
http://data.europa.eu/949/tsiCompliantMetalConstruction,1.0,20.0
http://data.europa.eu/949/kilometer,1.0,1.0161290322580645
http://data.europa.eu/949/opType,1.0,11.0
http://data.europa.eu/949/startLocation,1.0,4.0
http://data.europa.eu/949/uopid,1.0,1.0
http://data.europa.eu/949/otherPantographHead,1.0,60.0
http://data.europa.eu/949/maxDistEndTrainFirstAxle,1.0,68.0
http://data.europa.eu/949/minimumContactWireHeight,1.0,60.0
http://www.opengis.net/ont/geosparql#asWKT,1.0,1.0
http://data.europa.eu/949/localRulesOrRestrictionsDoc,1.0,14.0
http://data.europa.eu/949/lineReferenceTunnelEnd,1.0,2.0
http://data.europa.eu/949/endLocation,1.0,4.0
http://data.europa.eu/949/hasSystemSeparation,1.0,52.0
http://data.europa.eu/949/phaseSeparation,1.0,48.0
http://data.europa.eu/949/tunnelIdentification,1.0,4.0
http://data.europa.eu/949/legacyRadioSystem,1.0,18.0
http://data.europa.eu/949/hasRegenerativeBrake,1.0,30.0
http://data.europa.eu/949/tafTAPCode,1.0,1.0
http://data.europa.eu/949/verificationENE,1.0,6.0
http://data.europa.eu/949/verificationINF,1.0,6.0
http://data.europa.eu/949/passesThroughTunnel,1.2,1.0
http://data.europa.eu/949/trainDetectionSystemSpecificCheckDocument,1.0,6.0
http://data.europa.eu/949/documentUrl,1.0,1.0
http://data.europa.eu/949/trainDetectionSystemSpecificCheck,1.0,6.0
http://xmlns.com/foaf/0.1/name,1.0,1.0
