predicate,functionality,inverse_functionality
http://data.europa.eu/949/notApplicable,13.40282447881641,205.46391752577318
http://data.europa.eu/949/tsiPantographHead,1.0,139.0
http://www.w3.org/2000/01/rdf-schema#label,1.2945674044265594,5.106349206349206
http://data.europa.eu/949/flangeLubeRules,1.0,183.0
http://data.europa.eu/949/maximumTrainDeceleration,1.0,91.5
http://data.europa.eu/949/publicNetworkRoaming,1.0,169.0
http://data.europa.eu/949/validityEndDate,1.0,739.0
http://data.europa.eu/949/tenClassification,1.0,550.0
http://data.europa.eu/949/validityStartDate,1.0,38.89473684210526
http://data.europa.eu/949/TSITractionHarmonics,1.0,183.0
http://data.europa.eu/949/minAxleLoadVehicleCategory,3.0,366.0
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1.001609657947686,131.0
http://data.europa.eu/949/length,1.0,1.545816733067729
http://data.europa.eu/949/minWheelDiameter,1.0,183.0
http://data.europa.eu/949/tsiCompliantCompositeBrakeBlocks,1.0,183.0
http://data.europa.eu/949/maximumAltitude,1.0,5.903225806451613
http://data.europa.eu/949/nationalLoadCapability,1.0,33.6
http://data.europa.eu/949/minimumWheelDiameter,1.0,183.0
http://data.europa.eu/949/gsmrNetworkCoverage,9.0,169.0
http://data.europa.eu/949/trackDirection,1.0,63.0
http://data.europa.eu/949/sidingId,1.0,1.1398963730569949
http://data.europa.eu/949/hasRefuelling,1.0,220.0
http://data.europa.eu/949/siding,9.166666666666666,1.0
http://data.europa.eu/949/maximumTemperature,1.0,183.0
http://data.europa.eu/949/hasAbstraction,1.0,1.0
http://data.europa.eu/949/trainDetectionSystem,3.0,1.0
http://data.europa.eu/949/gaugingProfile,2.9696969696969697,130.66666666666666
http://data.europa.eu/949/canonicalURI,1.0,1.0027063599458728
http://data.europa.eu/949/profileNumberSemiTrailers,1.6988636363636365,74.75
http://data.europa.eu/949/etcsLevelType,1.0,183.0
http://data.europa.eu/949/trainDetectionSystemType,1.0,183.0
http://data.europa.eu/949/tdsMinAxleLoadVehicleCategory,1.0,1.0
http://data.europa.eu/949/isQuietRoute,1.0,183.0
http://data.europa.eu/949/minimumTemperature,1.0,183.0
http://data.europa.eu/949/lineReference,1.2409638554216869,1.0098039215686274
http://data.europa.eu/949/tsiCompliantMaxDistConsecutiveAxles,1.0,183.0
http://data.europa.eu/949/protectionLegacySystem,1.5919540229885059,92.33333333333333
http://data.europa.eu/949/lengthOfPlatform,1.0,1.5714285714285714
http://data.europa.eu/949/hasElectricShoreSupply,1.0,220.0
http://data.europa.eu/949/imCode,1.0,469.0
http://data.europa.eu/949/track,2.1951219512195124,1.0
http://data.europa.eu/949/loadCapabilitySpeed,1.0,183.0
http://data.europa.eu/949/hashSource,1.0,1.0
http://data.europa.eu/949/hasLevelCrossings,1.0,91.5
http://data.europa.eu/949/tsiCompliantShuntDevices,1.0,183.0
http://data.europa.eu/949/wheelSetGauge,1.0,264.0
http://data.europa.eu/949/contactStripMaterial,2.0,139.0
http://data.europa.eu/949/minimumHorizontalRadius,1.0,3.388888888888889
http://data.europa.eu/949/hasRegenerativeBrake,1.0,139.0
http://data.europa.eu/949/minFlangeHeight,1.0,183.0
http://data.europa.eu/949/hasSandRestocking,1.0,220.0
http://data.europa.eu/949/tsiCompliantMetalFreeSpace,1.0,183.0
http://data.europa.eu/949/compatibilityProcedureDocument,2.0,183.0
http://data.europa.eu/949/minimumContactWireHeight,1.0,139.0
http://data.europa.eu/949/usesGroup555,1.0,169.0
http://data.europa.eu/949/gsmROptionalFunctions,2.0,169.0
http://data.europa.eu/949/minAxleLoad,3.0,366.0
http://data.europa.eu/949/opType,1.0,13.833333333333334
http://data.europa.eu/949/lineCategory,1.5041666666666667,90.25
http://data.europa.eu/949/redLightsRequired,1.0,183.0
http://data.europa.eu/949/profileNumberSwapBodies,2.0113636363636362,59.0
http://data.europa.eu/949/contactLineSystemType,1.0,91.5
http://data.europa.eu/949/minFlangeThickness,1.0,183.0
http://data.europa.eu/949/hasAdditionalBrakingInformation,1.0,183.0
http://data.europa.eu/949/tafTAPCode,1.5384615384615385,1.1111111111111112
http://data.europa.eu/949/minDistConsecutiveAxles,1.0,18.3
http://data.europa.eu/949/hasToiletDischarge,1.0,220.0
http://data.europa.eu/949/hasWaterRestocking,1.0,220.0
http://data.europa.eu/949/permittedContactForce,1.0,16.25
http://data.europa.eu/949/gradientProfile,1.0,1.0661764705882353
http://data.europa.eu/949/additionalBrakingInformationDocument,3.0546448087431695,55.9
http://data.europa.eu/949/lengthOfSectionOfLine,1.0,1.065217391304348
http://data.europa.eu/949/hasHotAxleBoxDetector,1.0,91.5
http://data.europa.eu/949/energySupplySystemTSICompliant,1.0,139.0
http://data.europa.eu/949/gsmRVersion,1.0,91.5
http://data.europa.eu/949/solNature,1.0,49.0
http://data.europa.eu/949/opName,1.0,1.1369863013698631
http://data.europa.eu/949/maximumBrakingDistance,1.0,183.0
http://data.europa.eu/949/temperatureRange,1.0,183.0
http://data.europa.eu/949/inCountry,1.0,193.0
http://data.europa.eu/949/structureCheckLocation,1.5116279069767442,2.096774193548387
http://data.europa.eu/949/hasExternalCleaning,1.0,220.0
http://data.europa.eu/949/phaseSeparation,1.0,69.5
http://data.europa.eu/949/maxTrainCurrent,1.0,69.5
http://data.europa.eu/949/TSIMagneticFields,1.0,183.0
http://data.europa.eu/949/loadCapabilityLineCategory,1.0,183.0
http://data.europa.eu/949/minRimWidth,1.0,183.0
http://data.europa.eu/949/minDistFirstLastAxle,1.0,183.0
http://data.europa.eu/949/magneticBraking,1.0,179.0
http://data.europa.eu/949/maxSandingOutput,1.0,183.0
http://data.europa.eu/949/contactLineSystem,1.0,1.0
http://data.europa.eu/949/tsiCompliantMaxImpedanceWheelset,1.0,183.0
http://data.europa.eu/949/otherPantographHead,2.0,139.0
http://data.europa.eu/949/raisedPantographsSpeed,1.0,17.375
http://data.europa.eu/949/energySupplySystem,1.0,139.0
http://data.europa.eu/949/tsiCompliantFerromagneticWheel,1.0,183.0
http://data.europa.eu/949/tsiCompliantMetalConstruction,1.0,183.0
http://data.europa.eu/949/railInclination,1.0,183.0
http://data.europa.eu/949/hasTSITrainDetection,1.0,91.5
http://data.europa.eu/949/legacyRadioSystem,1.0,183.0
http://data.europa.eu/949/tsiSwitchCrossing,1.0,183.0
http://data.europa.eu/949/specificInformation,1.0,183.0
http://data.europa.eu/949/trackId,1.0,5.510204081632653
http://data.europa.eu/949/umax2,1.0,139.0
http://data.europa.eu/949/switchProtectControlWarning,1.0,91.5
http://data.europa.eu/949/requiredSandingOverride,1.0,183.0
